num_matricula,id_aluno,cod_curso,data_matricula,semestre
M0001,101,ADS001,10/02/2024,2024.1
M0002,102,ADM002,2024-02-11,2024.1
M0003,103,ENG003,12/02/2024,2024.1
M0004,104,PSI004,13-02-2024,2024.1
M0005,105,DIR005,14/02/2024,2024.1
M0006,106,ENF006,15/02/2024,2024.1
M0007,107,ADS001,16/02/2024,2024.1
M0008,108,ADM002,17/02/2024,2024.1
M0009,101,ADS001,18/02/2024,2024.1
M0010,109,MED007,19/02/2024,2024.1
M0011,999,ADS001,20/02/2024,2024.1
M0012,110,ads001,21/02/2024,2024.1
M0013,112,,22/02/2024,2024.1
M0014,111,ADM-002,23/02/2024,2024.1
M0015,113,ADM002,,2024.1
